Local Authority Code,Local Authority Name,NGA Availability (% premises) by Local Authority,SFBB Availability (% premises) by Local Authority,UFBB Availability (% premises) by Local Authority,Take-up of lines < 2 Mbit/s (number of lines) by Local Authority,Take-up of Lines 2-5 Mbit/s (number of lines) by Local Authority,Take-up of Lines 5-10 Mbit/s (number of lines) by Local Authority,Take-up of Lines 10-30 Mbit/s (number of lines) by Local Authority,Take-up of lines > 30 Mbit/s (number of lines) by Local Authority,Take-up of lines > 300 Mbit/s (number of lines) by Local Authority,Average data downloaded by Local Authority (GB),Average data uploaded by Local Authority (GB),Average download speed (Mbit/s) by Local Authority,Median download speed (Mbit/s) by Local Authority,Minimum download speed (Mbit/s) by Local Authority,Maximum download speed (Mbit/s) by Local Authority,Average download speed (Mbit/s) for NGA lines by Local Authority,Average download speed (Mbit/s) for non-NGA lines by Local Authority,Average download speed (Mbit/s) for Superfast BB lines by Local Authority,Average download speed (Mbit/s) for Ultrafast BB lines by Local Authority,Average download speed (Mbit/s) for basic BB (non-SF) lines by Local Authority,Average upload speed (Mbit/s) by Local Authority,Median upload speed (Mbit/s) by Local Authority,Minimum upload speed (Mbit/s) by Local Authority ,Maximum upload speed (Mbit/s) by Local Authority ,Average upload speed (Mbit/s) for NGA lines by Local Authority ,Average upload speed (Mbit/s) for non-NGA lines by Local Authority ,Average upload speed (Mbit/s) for Superfast BB lines by Local Authority ,Average upload speed (Mbit/s) for Ultrafast BB lines by Local Authority ,Average upload speed (Mbit/s) for basic BB (non-SF) lines by Local Authority ,% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s
00-CY,Calderdale District ,90,80,0,3447,9872,17183,22521,18988,,69.2,10.3,24.1,13.5,0.1,152,56.7,9.8,62.7,,10.2,3,1.1,0,20,7.5,1,8.2,,1.1,1,3,6
00-CZ,Kirklees District ,86,82,0,7980,21642,31266,33285,46933,,68.8,9.4,28.5,13.8,0.1,152,61.2,8.5,67.3,,9.2,2.9,1.1,0,20,6,0.9,6.5,,1,1,4,7
00-DA,Leeds District ,93,89,0,10863,30623,51549,73018,101798,<4,75.5,10.8,31.8,17.8,0.1,330,62,9.9,66.7,<4,10.4,3.3,1.2,0,40,6.6,1,7,<4,1.1,0,2,3
00-DB,Wakefield District ,96,88,0,6625,17237,24422,31855,33480,,69,10.3,24.4,13.4,0.1,152,54.3,9.2,59.4,,9.7,3.2,1.1,0,20,7.8,0.9,8.4,,1.1,0,1,2
00-EB,Hartlepool ,94,93,0,2144,3518,3643,4707,16195,,77.2,10.3,42.2,30,0.1,152,65.9,7.2,71.2,,8.7,3.7,2,0,20,5.5,0.9,5.9,,1,1,2,5
00-EC,Middlesbrough ,93,93,0,1406,3723,6839,10867,21936,,85.7,10,41.3,23.5,0.2,152,67.3,10.1,72.7,,11,3.3,2,0,20,5.2,1,5.6,,1.1,0,2,3
00-EE,Redcar and Cleveland ,89,88,0,1745,4402,7876,10776,22807,,72,8.8,41,22.3,0.1,152,68.6,9.7,74.1,,10.7,3.2,2,0,20,5.2,0.9,5.5,,1,1,3,7
00-EF,Stockton-on-Tees ,89,88,0,3332,8506,9219,12848,33156,,72.8,9.1,41.2,24,0.1,152,67.9,8.4,73.6,,9.6,3.4,2,0,20,5.4,0.9,5.8,,1,1,5,8
00-EH,Darlington ,92,90,0,2177,4813,5596,7161,17843,,70.1,10,39,20.9,0.1,220,66.9,8.3,71.9,,9.3,3.4,2,0,20,5.7,0.9,6.1,,1,1,4,6
00-EJ,County Durham,93,82,0,11591,25674,39792,57093,39175,,68.3,10.5,18.6,12.1,0.1,152,43.2,9.7,47.6,,10.1,3.2,1.1,0,20,9.5,0.9,10.6,,1.1,1,3,7
00-EM,Northumberland,93,81,2,8151,15763,29367,34570,25109,<4,61.1,9.1,18.4,11.2,0.1,330,43.3,9.5,48.3,<4,9.9,3.4,1.1,0,30,9.8,0.9,11.1,<4,1,3,5,9
00-EQ,Cheshire East ,95,84,1,7258,16781,30691,38418,44934,19,60.8,9.9,25.7,14.6,0.1,330,52.6,9.5,58.2,330,10,3.8,1.2,0,30,8.6,0.9,9.4,30,1.1,1,3,5
00-ET,Halton ,95,92,0,2214,6179,7765,10417,17645,,56.6,6.9,34.4,17.9,0.1,152,66.2,8.9,71.8,,9.7,3.6,1.3,0,20,6.9,0.9,7.4,,1,0,2,3
00-EU,Warrington ,94,89,0,3994,8231,13837,18487,31753,,76,10.2,34.1,19.3,0.1,152,62.3,9.3,67.8,,10.1,3.9,1.3,0,20,7.3,0.9,7.8,,1.1,0,3,4
00-EW,Cheshire West and Chester ,94,81,3,6535,16556,28741,36959,34226,6,61.9,9.7,22.9,13.5,0,330,50.8,9.7,56.1,330,10.2,3.6,1.1,0,30,9,0.9,9.9,30,1.1,1,2,6
00-EX,Blackburn with Darwen ,90,86,0,1827,5842,11832,11377,14944,,78.7,11,28.2,13.1,0.1,152,62.4,9,66.8,,9.4,2.9,1.1,0,20,6.3,0.9,6.7,,1,0,2,5
00-EY,Blackpool ,96,95,0,1033,3130,8930,19930,17008,,82.8,11.9,33.1,18.5,0.2,152,68.6,12.6,72.6,,12.7,3.2,1.3,0,20,6.8,1.1,7.2,,1.1,0,0,1
00-FA,City of Kingston upon Hull ,23,2,21,1525,9059,23125,25464,8719,9,103.2,7.1,17.3,10,0.1,1000,70.4,9.5,70.4,672,9.5,2,1,0.1,500,9.3,0.9,9.3,284,0.9,1,9,37
00-FB,East Riding of Yorkshire,57,36,10,5878,11866,28673,46988,16414,7,67.3,7.2,17.9,12.3,0.1,1000,54.4,10.8,57.8,621,10.9,2.5,1,0,500,9.9,0.9,10.4,289,1,Insuffient data,Insuffient data,Insuffient data
00-FC,North East Lincolnshire ,96,95,0,1216,3046,7926,13936,29617,,79.1,9.9,45.8,30,0.2,152,70.2,10.9,75.7,,11.9,3.6,2,0,20,5.4,1,5.7,,1.2,0,1,2
00-FD,North Lincolnshire ,92,85,0,5185,7813,9250,13690,20408,,66.7,9.9,29.3,17.1,0.1,152,58.3,8.8,64.2,,9.6,3.5,1.2,0,20,7,0.9,7.6,,1,2,3,6
00-FF,York ,95,49,43,2993,8701,14886,21123,23380,8,59.3,9.5,27.2,15.4,0.2,330,56.1,9.9,61.3,330,10.4,3.7,1.2,0,30,8.1,1,8.9,30,1.1,1,1,2
00-FK,City of Derby ,95,95,0,2477,6082,13113,21672,40602,,79.5,10.5,39,22.3,0.1,220,63.8,10.4,68.6,,11.2,3.7,2,0,20,6,1,6.4,,1.1,0,1,2
00-FN,City of Leicester ,93,93,0,2185,7227,16748,27921,49874,,91.7,11.7,37.4,22.9,0.2,152,61.3,11.2,65.2,,11.7,3.2,2,0,20,5.2,1,5.5,,1.1,0,1,2
00-FP,Rutland,96,75,4,791,1262,2173,4584,4450,,57.6,8.3,23.8,18.2,0.2,80,41.5,10.8,47.6,,11.8,4.5,1.2,0,20,9.3,0.9,11,,1.2,2,4,7
00-FY,City of Nottingham ,93,92,0,2227,7378,15912,23654,50851,,83.5,11.7,40.7,30,0.1,152,64.8,10.4,69.3,,11.2,3.4,2,0,20,5.4,1,5.7,,1.1,0,1,1
00-GA,County of Herefordshire,75,49,13,7352,13173,19353,13419,10560,<4,54.8,8.5,14.8,8,0.1,330,45.2,7.8,49.1,<4,8,2.8,0.9,0,30,10.5,0.8,11.5,<4,0.9,5,12,28
00-GF,Telford and Wrekin ,88,85,0,1802,4814,10228,16972,25101,,80.6,10.4,36.1,20,0.1,152,64.8,10.7,69.6,,11.3,3.6,1.3,0,80,6.5,1,6.9,,1.1,1,3,9
00-GG,Shropshire,83,60,7,8652,16682,29637,31373,20765,<4,52.8,8.7,17.6,9.4,0.1,330,45.8,9.3,51,<4,9.6,3,1,0,30,9.8,0.9,11,<4,1,3,8,21
00-GL,City of Stoke-on-Trent ,97,95,0,2881,10466,17191,17652,35268,,80.3,10.6,35.3,18.3,0.1,152,65.5,8.6,70.7,,9.4,3.4,1.3,0,20,6.1,0.9,6.5,,1.1,0,0,1
00-HA,Bath and North East Somerset,82,74,1,3142,8129,13894,19969,20246,<4,63.2,10.2,26,15.3,0.1,330,55.7,10.1,60.4,<4,10.5,3.5,1.2,0,30,8.2,0.9,8.8,<4,1,1,5,12
00-HB,City of Bristol ,93,92,1,2330,6929,22890,46332,84491,,80.8,11.7,42.4,30,0.2,220,65.5,11.8,70.2,,12.6,3.6,2,0,20,5.6,1,5.9,,1.1,0,0,1
00-HC,North Somerset,79,70,0,3572,10381,21326,25460,18056,<4,58.8,9,21.5,11.8,0.1,330,54,9.8,59.6,<4,10.1,2.9,1.1,0,30,8.1,1,8.8,<4,1.1,2,5,13
00-HD,South Gloucestershire,97,89,1,4093,9847,15591,20400,46237,4,67,9.2,38.3,22.4,0.1,330,62.2,8.9,68.6,330,10.2,3.9,2,0,30,6.3,0.9,6.9,30,1.1,1,2,4
00-HE,Cornwall,94,50,32,13025,25416,44818,72701,49940,102,59.3,9.5,20.8,14.3,0.1,330,45.2,10.4,51.9,330,10.8,3.6,1.1,0,30,9.7,0.9,11.3,30,1.1,2,4,7
00-HF,Isles of Scilly,99,88,0,92,158,343,65,374,,47.5,11.3,22.9,8.1,0.2,80,45.3,5.9,51.4,,6.7,6.2,1.1,0.1,20,11.4,0.6,12.9,,1,0,0,2
00-HG,City of Plymouth ,95,95,0,2703,7149,13753,21264,48152,<4,79,11,42.1,30,0.1,330,65.9,9.8,71.1,<4,10.9,3.9,2,0,30,6,1,6.4,<4,1.1,0,1,2
00-HH,Torbay ,88,83,0,962,3581,10599,21561,12740,,63.8,9.2,25.4,16.3,0.1,152,56.1,12.2,62.7,,12.5,2.9,1.2,0,20,7.1,1,7.8,,1.1,0,1,3
00-HN,Bournemouth ,98,41,56,1310,4698,11783,21106,31501,,79.6,12.3,36.7,20.8,0.1,152,62.4,11.6,67,,12.1,3.9,1.4,0,20,6.9,1,7.4,,1.1,0,0,0
00-HP,Poole ,97,66,30,1679,6084,9698,14193,25226,,68.4,9.4,36.7,20,0.1,152,63.3,9.6,69.5,,10.6,3.7,1.4,0,20,6.5,1,7,,1.1,0,0,1
00-HX,Swindon ,81,80,1,2430,8136,13840,21893,31581,,75.8,9.7,35.3,19,0.1,220,66.8,10.3,71.1,,10.8,3.5,1.3,0,20,6.7,1,7.1,,1.1,0,2,7
00-HY,Wiltshire,86,70,0,10517,21808,45998,51701,47486,4,58.7,8.3,23.9,12.9,0.1,330,55.9,9.6,61.9,330,10.1,3.2,1.1,0,35,8.1,0.9,8.9,30,1,2,6,17
00-JA,City of Peterborough ,92,87,2,3558,8992,12043,12359,29859,,78.8,11.6,34.7,20,0.1,152,61.3,8.1,66.3,,9.1,3.7,1.4,0,80,6.5,0.9,7,,1.1,1,4,7
00-KA,Luton ,98,98,0,2444,6575,8001,12544,34546,,88.1,11.8,41.6,30,0.1,220,63.8,9,68.5,,10.2,3.9,2,0,31,5.9,0.9,6.3,,1.1,0,0,1
00-KB,Bedford ,88,82,1,4390,7302,9219,13237,24374,,69.5,9.6,33.7,20,0.1,220,61.3,8.8,67.2,,9.8,3.6,1.3,0,20,6.5,0.9,7,,1.1,1,6,11
00-KC,Central Bedfordshire,86,80,0,4970,10209,16488,30364,36161,,66.3,8.9,32.2,18.7,0.1,220,61.9,10.5,68.2,,11.1,3.6,1.2,0,20,7.2,0.9,7.8,,1.1,1,5,12
00-KF,Southend-on-Sea ,95,94,0,954,2580,10577,23142,26936,,79.2,10.8,35.6,20,0.2,152,62.2,12.5,66.9,,12.9,4.1,1.3,0,20,7.7,1,8.1,,1.2,0,0,1
00-KG,Thurrock ,93,90,0,2609,5570,9008,14157,23574,,86.4,10.7,36.4,20,0.2,152,64.8,9.8,70.6,,10.6,4,1.3,0,20,7.3,1,7.9,,1.1,0,2,5
00-LC,Medway ,95,92,0,3427,9302,14547,21478,45281,,79.9,10,40.6,22.4,0,152,67.3,9.6,73.1,,10.5,3.9,2,0,20,6.4,1,6.9,,1.1,0,1,3
00-London,London,93,89,4,61211,207608,571825,963569,1139332,175,86.6,13.5,32.6,18.3,0,330,61.8,11.2,66,330,11.6,3.9,1.2,0,80,7.8,1,8.3,30,1.1,0,0,2
00-MA,Bracknell Forest ,96,92,0,2305,6644,6241,6939,19834,,77.1,10.8,35.9,21.2,0.2,152,61,7.2,66.4,,8.6,4.6,2,0.1,80,7.9,0.9,8.5,,1.1,0,1,2
